NUMERO TOTALE ATTRIBUTI: 50

Attributo: numero di volte che compare positivo, numero di volte che compare negato 

Positiva: 3, 1
Allegra: 1, 3
Ottimista: 4, 2
Energica: 1, 1 
Spensierata: 1, 2
Dolorosa: 1, 2
Minacciosa: 1, 3
Melanconica: 1, 1
Leggerezza: 1, 1
Rassicurante: 1, 1
Allarmante: 1, 1
Incerta: 1, 1
Ansiosa: 2, 0
Rilassante: 0, 2
Divertente: 1, 1
Imprevedibile: 1, 0
Immediata: 2, 1
Eccitante: 1, 0
Stuzzicante: 1, 0
Nostalgica: 1, 1
Rassegnazione: 0, 1
Cauta: 0, 1
Sconvolgente: 0, 1
Riflessiva: 1, 0
Profonda: 1, 0
Depressiva: 1, 0
Cuore spezzato: 1, 0
Intensa: 2, 0
Dolce: 0, 2
Impulsiva: 1, 0
Impetuosa: 1, 0
Incerta: 2, 1






